"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,
Population (number of persons) 1/,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",130604,131998,133583,135742,138927,142421,144840,147032,148662,149948,151014,151575,152063,152751,153295,153851
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",212461,214532,217483,219215,221400,224622,227498,228381,230826,232298,233325,234442,235612,236788,237840,238554
16620,"Charleston, WV (Metropolitan Statistical Area)",233423,232093,231566,230874,229041,227750,227165,226811,227421,226896,225811,225796,224687,222797,220375,217916
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",556901,565179,573376,587231,598313,614463,628384,643613,655447,667501,681318,697123,711449,727027,744603,761155
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1769476,1806638,1841489,1880010,1934168,2009239,2086153,2151756,2195856,2223454,2256476,2294642,2334781,2377378,2424643,2474314
16820,"Charlottesville, VA (Metropolitan Statistical Area)*",193611,196350,198602,200985,204975,208519,211383,214672,217176,219094,221251,222966,224347,226440,228977,231349
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",481798,485957,490089,494709,499564,506473,513100,518778,524082,529228,533351,538156,541926,543891,547007,551632
16940,"Cheyenne, WY (Metropolitan Statistical Area)",82554,83226,84084,85427,85732,86819,87654,89077,90430,92272,92637,94785,95929,96264,97183,98136
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",9169580,9206032,9233303,9260676,9276302,9297749,9337140,9384555,9429498,9471637,9493862,9516555,9535961,9543893,9532569,9512999
17020,"Chico, CA (Metropolitan Statistical Area)",206193,209120,211481,213065,214752,216824,217469,219034,219777,219983,219987,221180,222116,223974,225251,226864
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2012228,2020396,2031529,2042753,2054879,2069960,2084042,2095040,2107649,2117889,2122659,2128439,2136296,2146784,2155392,2165139
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",223001,224096,223891,228899,237633,237426,247849,248331,256545,261718,264443,275272,273191,277759,280988,282349
17420,"Cleveland, TN (Metropolitan Statistical Area)",105295,105979,106754,108099,109410,111177,112935,114306,115090,115936,116620,117707,118521,119643,120651,121262
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2141787,2136201,2131150,2122934,2111699,2099415,2091596,2085110,2081063,2075769,2068471,2064240,2064501,2063862,2059929,2055612
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",111542,113667,116512,121002,125972,129510,132811,135627,137407,138887,141025,142311,144299,147294,150364,154311
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",188315,192016,196234,199374,203500,209014,213000,218658,225114,229480,231386,234025,237722,242530,250040,254928
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",557057,565688,569231,578345,587778,602532,609490,620644,630998,650397,660230,669014,678235,686022,697619,712327
17860,"Columbia, MO (Metropolitan Statistical Area)",138181,140695,143019,145348,148786,152784,155666,158089,160565,163201,166030,168746,171072,172906,174546,176594
17900,"Columbia, SC (Metropolitan Statistical Area)",659125,666087,676083,690421,699160,715091,730546,745740,759400,769689,776543,783941,791746,799854,809771,817488
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",283646,285398,278969,284887,286358,289129,286274,286985,292968,296506,302721,311071,316616,314029,311820,308755
18020,"Columbus, IN (Metropolitan Statistical Area)",72110,71890,72299,72882,73660,74508,75265,76080,76566,76845,77626,78927,79491,80182,81011,81402
18140,"Columbus, OH (Metropolitan Statistical Area)",1706779,1726352,1749262,1769572,1791126,1816992,1841539,1865647,1887548,1906516,1925857,1946428,1970123,1996809,2020144,2041520
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",402647,405692,406915,411936,416308,419530,420407,423168,427262,427997,431010,436817,443126,448106,452735,454726
18700,"Corvallis, OR (Metropolitan Statistical Area)",78491,80203,80322,80149,80943,81957,83718,84150,85390,85566,85999,86441,86066,87112,88271,89385
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",214955,220192,223227,230024,233437,235216,235032,235315,235687,236006,238918,247584,252819,257029,262140,267059
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",101596,101462,101457,101658,101172,101304,101981,102462,103181,103245,102638,101869,101331,100645,99944,99541
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",5376413,5482944,5575785,5666333,5776543,5942755,6081907,6211115,6341740,6452677,6571576,6704080,6813055,6945274,7089888,7233323
19140,"Dalton, GA (Metropolitan Statistical Area)",124015,126208,128476,131307,133885,136581,138792,140415,140897,142318,142508,142585,142261,142853,143452,143904
19180,"Danville, IL (Metropolitan Statistical Area)",83646,83299,82996,82955,82728,82715,82258,81930,81710,81617,81380,80774,80495,79695,78990,78111
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",144875,147957,151509,156266,162183,168121,172404,175827,179406,183199,186653,190403,195147,199745,203690,208563
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",374561,373740,372975,372740,372876,373762,375121,376467,378108,380241,381119,382828,384024,383972,383426,382268
19380,"Dayton, OH (Metropolitan Statistical Area)",804479,804286,804926,805930,804766,803498,801852,800209,798895,800307,801312,802216,801308,800746,799800,800683
